parcel_uuid,project_id,project_type,state,district,village,survey_number,sub_division_number,official_owner,official_area,land_classification,record_status,land_area_sqm,location_type,latitude,longitude,base_market_value,multiplier,asset_value,solatium_100_percent,total_compensation,number_of_parcels,number_of_owners,affected_families,proposal_days,verification_days,approval_days,notification_days,award_days,compensation_days,possession_days,rr_days,missing_documents,verification_rejections,approval_resubmissions,land_record_issues,boundary_disputes,ownership_disputes,legal_cases,compensation_percentage,possession_percentage,rr_percentage,previous_delays,current_pending_tasks,target_completion_days,actual_completion_days,delay_days,delayed,survey_officer_name,landowner_name,project_issue_date,project_deadline_date
UP-LKO-2026-10049,P003,Highway,Uttar Pradesh,Kanpur,Bithoor,28/B,B,Vikram Verma,4.34 acres,Commercial,Verified,17563.37,URBAN,26.8565,80.9952,38305709.97,1.7,0,65119706.95,130239413.9,9,10,17,17,45,41,55,98,16,32,34,2,0,1,3,3,0,0,50,0,50,2,8,230,394,164,1,Suresh Yadav,Vikram Verma,01-03-2025,17-10-2025
UP-LKO-2026-10050,P003,Railway,Uttar Pradesh,Varanasi,Sarnath,32/A,A,Rahul Kumar,2.49 acres,Commercial,Verified,10076.68,RURAL,26.8567,80.9962,15457627.12,3.01,0,46527457.63,93054915.26,9,13,19,20,28,17,55,42,78,31,117,1,0,2,0,2,1,1,0,0,0,0,9,265,496,231,1,Anil Singh,Rahul Kumar,09-04-2025,30-12-2025
UP-LKO-2026-10051,P009,Railway,Tamil Nadu,Coonor,Hubbathala,136/1,1,Priya Singh,4.54 acres,Commercial,Verified,18372.74,RURAL,26.8569,80.9972,48430542.64,2.94,0,142385795.4,284771590.7,2,2,18,24,56,42,85,108,59,37,146,4,2,1,3,2,0,0,100,100,50,3,8,231,471,240,1,Ramesh Iyer,Priya Singh,05-01-2025,24-08-2025
UP-LKO-2026-10052,P006,Railway,Tamil Nadu,Chennai,Kolathur,88/A,A,Sunita Gupta,4.85 acres,Agricultural,Verified,19627.27,RURAL,26.8571,80.9982,28793205.09,3.13,0,90122731.93,180245463.9,7,11,3,19,55,19,30,35,19,23,145,4,0,2,0,1,1,0,50,0,0,3,1,215,275,60,1,Priya Verma,Sunita Gupta,31-07-2025,03-03-2026
UP-LKO-2026-10053,P009,Railway,Uttar Pradesh,Varanasi,Sarnath,109/3,3,Pooja Verma,1.37 acres,Commercial,Disputed,5544.2,RURAL,26.8573,80.9992,15301992,3.8,50000,58197569.6,116395139.2,4,9,9,22,49,40,73,103,25,17,102,1,1,0,3,2,2,0,25,0,0,2,0,391,479,88,1,Deepa Joshi,Pooja Verma,24-01-2025,19-02-2026
UP-LKO-2026-10054,P002,Railway,Tamil Nadu,Karaikudi,Kanadukathan,31/2A,2A,Amit Singh,3.21 acres,Commercial,Verified,12990.42,RURAL,26.8575,81.0002,12990420,3.35,0,43517907,87035814,1,6,5,26,36,29,36,97,33,46,44,4,0,2,2,1,0,2,0,0,100,0,9,261,573,312,1,Anil Patil,Amit Singh,26-09-2025,14-06-2026
UP-LKO-2026-10055,P003,Highway,Tamil Nadu,Chennai,Kolathur,191/A,A,Vikram Kumar,1.14 acres,Agricultural,Active,4613.42,RURAL,26.8577,81.0012,8299542.58,2,50000,16649085.16,33298170.32,10,13,2,20,18,27,49,47,27,28,123,2,1,2,0,2,1,2,50,0,50,3,9,262,561,299,1,Anil Yadav,Vikram Kumar,26-05-2025,12-02-2026
UP-LKO-2026-10056,P003,Highway,Uttar Pradesh,Kanpur,Bithoor,106/3,3,Vikram Verma,2.63 acres,Commercial,Pending Review,10643.24,URBAN,26.8579,81.0022,12803817.72,1.81,200000,23374910.07,46749820.15,5,10,15,19,30,39,30,30,25,51,113,5,3,1,4,2,2,1,25,0,50,3,1,330,494,164,1,Arvind Reddy,Vikram Verma,18-04-2025,14-03-2026
UP-LKO-2026-10057,P005,Railway,Bihar,Muzaffarpur,PQR Village,176/1,1,Neha Singh,1.99 acres,Commercial,Pending Review,8053.25,RURAL,26.8581,81.0032,16662174.25,3.04,200000,50853009.72,101706019.4,2,2,14,28,15,25,36,108,24,52,147,1,2,1,4,2,1,1,100,100,0,0,5,258,513,255,1,Anil Deshmukh,Neha Singh,30-07-2025,14-04-2026
UP-LKO-2026-10058,P002,Transmission,Maharashtra,Nagpur,Butibori,125/3,3,Pooja Devi,4.31 acres,Residential,Disputed,17441.97,URBAN,26.8583,81.0042,50930552.4,1.43,0,72830689.93,145661379.9,1,4,6,17,41,38,63,50,72,21,31,4,1,1,2,0,1,0,75,0,100,1,9,244,347,103,1,Priya Das,Pooja Devi,14-09-2025,16-05-2026
UP-LKO-2026-10059,P008,Transmission,Uttar Pradesh,Lucknow,Malhaur,95/3,3,Neha Gupta,1.01 acres,Commercial,Active,4087.33,URBAN,26.8585,81.0052,5264481.04,1.31,50000,6946470.162,13892940.32,3,3,6,30,41,23,48,41,62,39,140,2,3,0,3,3,2,2,0,0,50,2,2,353,704,351,1,Anil Singh,Neha Gupta,06-05-2025,24-04-2026
UP-LKO-2026-10060,P004,Highway,Uttar Pradesh,Kanpur,Bithoor,197/3,3,Amit Verma,2.03 acres,Commercial,Active,8215.13,URBAN,26.8587,81.0062,31291430.17,1.08,200000,33994744.58,67989489.17,8,9,12,18,19,38,80,32,24,36,140,5,1,1,1,2,2,0,25,0,100,3,5,298,397,99,1,Arvind Verma,Amit Verma,10-02-2025,05-12-2025
UP-LKO-2026-10061,P004,Highway,Bihar,Patna,ABC Village,70/2A,2A,Priya Yadav,2.18 acres,Multi-crop,Verified,8822.15,RURAL,26.8589,81.0072,17547256.35,3.57,0,62643705.17,125287410.3,9,14,5,24,54,39,75,101,80,47,139,1,2,2,0,0,1,0,25,0,50,0,4,286,465,179,1,Ramesh Yadav,Priya Yadav,24-06-2025,06-04-2026
UP-LKO-2026-10062,P002,Railway,Tamil Nadu,Coonor,Hubbathala,66/3,3,Priya Yadav,0.6 acres,Agricultural,Verified,2428.12,RURAL,26.8591,81.0082,2561666.6,2.59,200000,6834716.494,13669432.99,4,4,11,24,39,27,76,62,87,34,79,1,0,0,2,1,0,0,50,0,0,1,6,292,379,87,1,Ramesh Deshmukh,Priya Yadav,09-05-2025,25-02-2026
UP-LKO-2026-10063,P005,Transmission,Bihar,Siwan,XYZ Village,152/B,B,Ramesh Kumar,3.91 acres,Agricultural,Verified,15823.22,RURAL,26.8593,81.0092,47453836.78,3.75,0,177951887.9,355903775.9,5,5,4,18,39,11,75,43,89,58,144,2,3,1,2,3,0,0,75,50,50,0,9,205,423,218,1,Rajesh Iyer,Ramesh Kumar,09-09-2025,02-04-2026
UP-LKO-2026-10064,P009,Transmission,Uttar Pradesh,Varanasi,Sarnath,75/1,1,Ramesh Yadav,4.06 acres,Multi-crop,Active,16430.25,RURAL,26.8595,81.0102,50095832.25,2.11,0,105702206,211404412.1,7,10,12,10,29,29,30,60,66,17,128,5,3,2,4,2,2,0,100,0,0,1,6,265,391,126,1,Sanjay Sharma,Ramesh Yadav,17-03-2025,07-12-2025
UP-LKO-2026-10065,P002,Highway,Bihar,Muzaffarpur,PQR Village,73/1,1,Anjali Kumar,0.91 acres,Agricultural,Active,3682.64,RURAL,26.8597,81.0112,12730886.48,2.54,200000,32536451.66,65072903.32,3,8,3,30,53,23,56,83,39,42,124,0,3,1,0,1,2,0,25,0,100,2,6,309,446,137,1,Suresh Yadav,Anjali Kumar,31-05-2025,05-04-2026
